E2RU81	O83553	44.544	559	283	9	1	538	3	555	1.60e-165	479
E2RU81	Q9WYC5	25.600	375	225	12	69	438	3	328	5.52e-27	110
E2RU81	Q9KH71	28.807	243	151	8	70	311	5	226	1.55e-16	77.8
E2RU81	Q2RNU4	23.457	162	117	4	102	261	37	193	7.18e-04	38.5
E2RU81	Q609I3	23.383	201	135	7	76	263	11	205	0.002	37.4
E2RU81	P55356	30.986	71	43	3	300	366	195	263	1.1	28.5
E2RU81	A0RDG3	25.373	67	45	2	459	520	227	293	1.8	28.1
E2RU81	B2HCT7	27.907	86	50	3	338	421	51	126	1.8	26.9
E2RU81	Q2RHN8	37.500	32	20	0	55	86	72	103	3.9	26.9
E2RU81	B3QQ83	33.333	42	23	1	30	66	5	46	5.0	25.4
E2RU81	A1A1G3	41.379	29	17	0	189	217	159	187	7.9	25.4
H2N0D4	Q04449	23.810	63	41	1	391	446	268	330	0.26	30.4
H2N0D4	A5CD03	27.907	43	31	0	102	144	842	884	1.1	28.5
H2N0D4	P74299	28.814	59	40	1	358	416	126	182	1.3	28.5
H2N0D4	Q9WY51	28.378	74	42	4	196	265	18	84	2.7	27.3
H2N0D4	A1R0Q9	36.667	30	19	0	215	244	500	529	8.4	25.8
O43280	B9E8D6	26.496	117	71	5	345	459	83	186	1.7	27.7
O43280	B9KHM7	28.333	60	34	1	378	428	80	139	2.8	27.3
O43280	Q1LSM8	41.176	34	19	1	34	66	428	461	8.1	25.8
O62619	Q46289	42.650	483	257	8	50	529	6	471	5.51e-125	371
O62619	P34038	39.139	488	269	9	50	529	6	473	6.60e-109	333
O62619	B0B7Q0	39.796	490	266	10	50	533	7	473	8.20e-103	315
O62619	Q07637	37.476	515	272	11	50	533	7	502	9.28e-102	312
O62619	Q9WY51	36.585	492	283	9	45	533	1	466	1.58e-95	295
O62619	Q44473	36.895	496	275	10	46	532	7	473	2.48e-94	293
O62619	Q46078	37.423	489	273	9	46	529	3	463	1.11e-92	288
O62619	O51323	35.294	476	274	10	46	516	4	450	3.48e-90	281
O62619	O05118	35.378	489	291	9	46	532	5	470	1.01e-87	275
O62619	Q8K9M3	36.970	495	287	9	44	532	4	479	2.40e-81	259
O62619	P78031	37.958	382	205	8	42	399	2	375	1.08e-73	239
O62619	Q20Y76	31.092	119	58	7	119	219	78	190	0.77	28.5
O62619	Q7V493	34.426	61	32	2	319	379	282	334	3.2	26.9
O62619	A3DH61	24.419	86	47	3	391	468	19	94	3.8	26.6
O62619	B0B887	35.000	20	13	0	68	87	87	106	4.5	25.4
O62619	Q2GAI7	35.135	37	23	1	85	120	639	675	5.9	26.2
O62619	A5UC84	33.333	33	22	0	458	490	43	75	7.4	24.6
O62619	Q1D774	31.579	57	33	2	217	272	7	58	7.7	25.4
O62619	Q04C04	52.941	17	8	0	504	520	2	18	7.9	24.3
O94584	P39823	29.947	187	88	5	48	208	7	176	8.91e-19	77.8
O94584	Q48269	31.414	191	100	5	40	208	3	184	4.71e-17	74.3
O94584	Q9ZBM2	41.284	109	54	4	92	196	54	156	2.32e-15	70.5
O94584	Q7VIY7	41.667	36	21	0	157	192	241	276	0.68	27.7
P00334	Q8RHB4	35.185	54	26	2	60	113	100	144	0.24	29.3
P00334	B1AIH2	29.268	41	28	1	175	214	395	435	0.42	28.5
P00334	Q8R687	35.714	42	26	1	4	45	169	209	4.0	25.4
P00334	A8MEH2	33.333	54	30	3	66	113	233	286	5.4	25.0
P00334	P06516	32.432	74	30	3	199	252	803	876	9.4	24.3
P04385	B4F0A6	33.460	263	145	11	31	291	7	241	2.41e-26	107
P04385	B4F0A6	33.628	113	63	5	389	499	261	363	2.72e-09	55.8
P04385	A5UZX0	31.801	261	145	9	34	292	9	238	1.46e-19	87.4
P04385	A5UZX0	40.909	110	54	3	390	498	263	362	9.58e-16	75.9
P04385	B7IDE2	31.020	245	130	12	48	289	3	211	1.63e-19	86.7
P04385	B7IDE2	30.000	110	66	3	390	498	231	330	1.11e-05	44.3
P04385	Q9KDV4	29.237	236	130	10	50	280	30	233	1.14e-16	78.6
P04385	Q9KDV4	36.667	90	49	2	390	478	271	353	6.86e-11	60.8
P04385	P39574	30.802	237	136	11	50	284	24	234	2.74e-16	77.4
P04385	P39574	38.636	88	46	2	392	478	269	349	4.77e-12	64.3
P04385	Q896X8	28.794	257	153	9	34	288	15	243	2.77e-13	68.2
P04385	Q896X8	33.628	113	64	3	389	500	271	373	4.24e-11	61.2
P04385	P13227	29.310	116	70	3	395	508	270	375	1.40e-10	59.7
P04385	P13227	29.911	224	114	10	55	268	32	222	8.41e-09	54.3
P04385	A1KG98	32.995	197	108	7	50	245	7	180	2.18e-10	58.9
P04385	A1KG98	34.091	88	51	1	392	479	245	325	2.97e-09	55.5
P04385	Q9R7D7	32.759	116	66	4	390	503	276	381	9.02e-10	57.4
P04385	Q9R7D7	30.734	218	116	12	50	260	33	222	2.60e-07	49.7
P04385	Q891L4	37.931	58	33	2	151	208	70	124	0.001	37.4
P04385	A5IJN0	41.667	48	25	1	161	208	81	125	0.002	36.6
P04385	Q9ADB2	41.667	36	21	0	153	188	85	120	0.028	33.5
P04385	Q8R711	28.986	69	42	2	153	217	84	149	0.097	31.6
P04385	Q8P8J6	30.189	53	36	1	292	343	187	239	0.20	30.8
P04385	Q5HPL2	27.907	86	48	3	122	206	58	130	0.48	29.3
P04385	Q7MNR4	26.271	118	74	3	99	216	40	144	0.51	29.3
P04385	B1HYT4	28.866	97	50	3	378	469	174	256	0.55	29.3
P04385	B9LZV4	43.636	55	26	3	333	385	313	364	0.79	28.9
P04385	A8FH24	33.962	53	30	1	445	497	234	281	0.84	28.5
P04385	Q6A8B2	25.974	77	56	1	132	208	61	136	0.88	28.5
P04385	B8FU92	24.742	97	55	3	377	469	170	252	1.1	28.1
P04385	A4XI71	35.897	39	21	1	435	469	214	252	1.4	28.1
P04385	A6TKS7	33.333	57	35	1	152	208	75	128	1.8	27.7
P04385	Q0AXC8	44.000	25	14	0	445	469	231	255	2.1	27.3
P04385	Q0AXC8	36.735	49	28	2	130	177	56	102	4.8	26.2
P04385	Q7V1J8	37.778	45	28	0	55	99	280	324	2.8	27.3
P04385	Q0AIJ4	28.358	67	47	1	233	298	128	194	5.0	25.8
P04385	P23989	22.222	126	75	5	320	431	95	211	5.5	26.2
P04385	Q5P9M8	28.440	109	54	4	313	418	518	605	5.6	26.2
P04385	Q2GE74	30.612	49	33	1	421	468	380	428	5.7	26.2
P04385	Q9RY06	34.884	43	25	1	353	392	126	168	6.1	26.2
P04385	A1SVJ9	33.333	30	20	0	188	217	119	148	8.4	25.4
P06208	A6VSA9	47.585	559	279	5	31	587	1	547	0.0	553
P06208	B7GT76	46.193	591	274	11	37	592	51	632	9.40e-180	520
P06208	E3PVH7	43.501	577	277	10	38	595	5	551	1.18e-174	505
P06208	Q7TVV6	47.681	539	261	9	35	558	42	574	1.46e-170	499
P06208	Q7TVV6	36.364	22	14	0	571	592	676	697	5.1	26.6
P06208	D8J0Q1	42.388	578	298	8	31	589	1	562	1.34e-162	474
P06208	Q0VLR3	43.950	562	290	8	38	594	7	548	4.94e-157	459
P06208	A8FAK7	39.153	567	324	7	31	594	1	549	1.24e-147	435
P06208	Q7UI51	27.223	551	345	14	54	595	11	514	1.43e-38	146
P06208	C6DEV8	25.981	535	349	10	64	594	8	499	2.30e-35	137
P06208	A7Z7B8	24.777	561	331	17	59	592	2	498	4.99e-34	132
P06208	C4XPA8	26.173	554	340	16	54	594	4	501	6.63e-34	132
P06208	D5HB86	26.217	534	315	17	64	562	8	497	8.69e-34	132
P06208	Q5F8D4	25.212	591	372	16	21	594	45	582	1.12e-32	129
P06208	Q1QJV3	25.818	550	354	14	64	606	15	517	4.63e-32	127
P06208	D3EBC1	25.222	563	324	17	64	595	8	504	3.57e-31	124
P06208	B2FT78	25.704	568	347	17	62	606	13	528	3.07e-29	118
P06208	E1R5X1	23.623	563	334	15	59	592	3	498	1.49e-27	113
P06208	D3HCJ2	27.554	323	209	7	59	375	2	305	1.69e-27	113
P06208	A2BRP4	25.992	504	302	14	66	540	13	474	1.23e-26	110
P06208	B3DQN7	22.500	80	58	1	398	477	26	101	0.74	28.5
P06208	Q30TV3	70.588	17	5	0	219	235	38	54	0.88	26.9
P06208	A0M6C4	29.412	34	21	1	57	90	16	46	5.4	26.6
P06208	Q6MMJ1	21.622	111	81	1	143	247	526	636	5.5	26.6
P06208	A5IJN0	30.000	60	35	2	314	371	94	148	7.2	25.8
P06208	A1BF00	42.857	35	14	1	508	542	27	55	7.8	25.4
P06208	P56145	27.778	54	37	1	167	220	558	609	8.4	25.8
